mechanism,het,info,concentration,n,outcome_from,rho,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MCAR,0.0,0.0,0.9,1000,mix,0.5,1.0451708942760263e-16,0.1224375,12,0.943,2.973572115717008,0.106,0.694270940452424,0.6925492985420045,0.6927984248692576,0.6905074868712144,0.6908951761138864,0.70205862544791,0.0003876892426721623,0.025596805385948558,6,25,1000000000.0
MCAR,0.0,0.0,0.9,4000,mix,0.5,1.441988889405721e-16,0.15184375,12,0.982,2.867321830264796,0.09725,0.8531354768613771,0.8527321322800606,0.852663749253397,0.8536023873886011,0.853602387388601,0.8570201163733455,-1.4654943925052067e-16,1.0,1,25,1000000000.0
MCAR,0.0,0.0,0.5,1000,mix,0.5,5.405289930926482e-16,0.1178125,57,0.702,14.345958887345661,0.104,0.7476580252149168,0.743650937432605,0.7477098675997947,0.7434828367556559,0.7442597642719201,0.7621500899545919,0.0007769275162643919,0.7150006546880893,2,25,1000000000.0
MCAR,0.0,0.0,0.5,4000,mix,0.5,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.09825,0.5100380454169876,0.5038203155516867,0.5095492248543915,0.5029081318722796,0.5029081318722796,0.5069624373197414,0.0,1.0,0,25,1000000000.0
MCAR,0.0,0.0,0.1,1000,mix,0.5,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.108,0.6828892677026611,0.6807227910034815,0.684373614826839,0.6819667965139301,0.6819667965139301,0.6979656318484954,1.5543122344752193e-17,1.0,6,25,1000000000.0
MCAR,0.0,0.0,0.1,4000,mix,0.5,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.1,0.5986092087648922,0.5984708709418423,0.5985317918747041,0.5980749115455053,0.6030868545166657,0.6187429872863224,0.005011942971160379,0.03665792867221451,9,25,1000000000.0
MCAR,0.0,1.5,0.9,1000,mix,0.5,1.0451708942760263e-16,0.1224375,12,0.943,2.973572115717008,0.104,0.6691175772784717,0.6787821036679584,0.6680926357697059,0.6744025775215146,0.6744025775215146,0.6877576689449476,3.552713678800501e-17,1.0,5,25,1000000000.0
MCAR,0.0,1.5,0.9,4000,mix,0.5,1.441988889405721e-16,0.15184375,12,0.982,2.867321830264796,0.09525,0.7924515759562345,0.8565867312739508,0.7930671368107405,0.8560794788580713,0.8560794788580713,0.8582206050381211,1.0658141036401502e-16,1.0,15,25,1000000000.0
MCAR,0.0,1.5,0.5,1000,mix,0.5,5.405289930926482e-16,0.1178125,57,0.702,14.345958887345661,0.105,0.7065751089256379,0.7577354179533643,0.7045336416856691,0.7598137176053362,0.7600952893409765,0.7703190201301153,0.0002815717356401448,0.31731050786291415,1,25,1000000000.0
MCAR,0.0,1.5,0.5,4000,mix,0.5,3.86843335142828e-16,0.11584375,60,0.8565,13.95740703241044,0.101,0.45503009678665896,0.4941814978143722,0.45610394972667573,0.4931125234386768,0.49456286538606803,0.5050967378586,0.001450341947391236,0.5001842570707944,3,25,1000000000.0
MCAR,0.0,1.5,0.1,1000,mix,0.5,2.2603446891977796e-15,0.1161875,197,0.0,150.21272667168074,0.104,0.6422555819378362,0.649369710149475,0.6422632194389692,0.647551766786847,0.6476534041276432,0.6702410255039392,0.00010163734079606357,0.08446903225325182,6,25,1000000000.0
MCAR,0.0,1.5,0.1,4000,mix,0.5,3.884045862712071e-15,0.11921875,215,0.3665,161.16511830275894,0.0955,0.5234839372658898,0.5213931300827193,0.523281869350992,0.5211369374485506,0.5252482354350165,0.5433289662403744,0.004111297986465905,0.009925485845323257,9,25,1000000000.0
MCAR,0.5,0.0,0.9,1000,mix,0.5,0.44199037024705773,0.1224375,12,0.943,2.973572115717008,0.109,0.670495632826224,0.6544930722681969,0.666946979337891,0.6514513700479954,0.6516843477426366,0.6601833522594959,0.0002329776946411144,0.17971249487899976,2,25,1000000000.0
MCAR,0.5,0.0,0.9,4000,mix,0.5,0.4370174505187311,0.15184375,12,0.982,2.867321830264796,0.0965,0.8521652305908551,0.8548285781576211,0.8512727217341992,0.8545522051524125,0.8545522051524125,0.8567981266873932,-8.881784197001253e-18,1.0,5,25,1000000000.0
MCAR,0.5,0.0,0.5,1000,mix,0.5,0.48231983865115335,0.1178125,57,0.702,14.345958887345661,0.101,0.680127288521717,0.6614996693787153,0.6803245130224194,0.6671679719569603,0.6663526263077308,0.6928440316489151,-0.000815345649229382,0.8657723749926214,4,25,1000000000.0
